Sample in Buffer,Sample in Window,TRIGGER,base_i/system_ila_0/inst/net_slot_0_axis_tdata[23:0],base_i/system_ila_0/inst/net_slot_0_axis_tdest,base_i/system_ila_0/inst/net_slot_0_axis_tid,base_i/system_ila_0/inst/net_slot_0_axis_tkeep[2:0],base_i/system_ila_0/inst/net_slot_0_axis_tstrb[2:0],base_i/system_ila_0/inst/net_slot_0_axis_tuser,base_i/system_ila_0/inst/net_slot_0_axis_tvalid,base_i/system_ila_0/inst/net_slot_0_axis_tready,base_i/system_ila_0/inst/net_slot_0_axis_tlast,base_i/system_ila_0/inst/net_slot_1_axis_tdata[23:0],base_i/system_ila_0/inst/net_slot_1_axis_tdest,base_i/system_ila_0/inst/net_slot_1_axis_tid,base_i/system_ila_0/inst/net_slot_1_axis_tuser,base_i/system_ila_0/inst/net_slot_1_axis_tvalid,base_i/system_ila_0/inst/net_slot_1_axis_tready,base_i/system_ila_0/inst/net_slot_1_axis_tlast,base_i/system_ila_0/inst/net_slot_2_axis_tdata[31:0],base_i/system_ila_0/inst/net_slot_2_axis_tkeep[3:0],base_i/system_ila_0/inst/net_slot_2_axis_tstrb[3:0],base_i/system_ila_0/inst/net_slot_2_axis_tvalid,base_i/system_ila_0/inst/net_slot_2_axis_tready,base_i/system_ila_0/inst/net_slot_2_axis_tlast,Interface_(i1:s0)_(v_tpg_test_0_m_axis_video)[2:0],Interface_(i1:s1)_(axis_switch_in_M00_AXIS)[2:0],Interface_(i1:s2)_(Conn)[2:0],T_Channel_(i1:s0)_(v_tpg_test_0_m_axis_video)[2:0],T_Channel_(i1:s1)_(axis_switch_in_M00_AXIS)[2:0],T_Channel_(i1:s2)_(Conn)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
686,686,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,eaea69ea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
687,687,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,eaea69ea,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
688,688,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,69ead469,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
689,689,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,d469eaea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
690,690,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,eaea69ea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
691,691,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,eaea69ea,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
692,692,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,69ead469,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
693,693,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,d469eaea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
694,694,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,eaea69ea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
695,695,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,eaea69ea,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
696,696,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,69ead469,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
697,697,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,d469eaea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
698,698,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,eaea69ea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
699,699,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,eaea69ea,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
700,700,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,4cff554c,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
701,701,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,554cffff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
702,702,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,ffff4cff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
703,703,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,ffff4cff,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
704,704,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,4cff554c,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
705,705,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,554cffff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
706,706,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,ffff4cff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
707,707,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,ffff4cff,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
708,708,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,4cff554c,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
709,709,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,554cffff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
710,710,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,ffff4cff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
711,711,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,ffff4cff,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
712,712,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,4cff554c,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
713,713,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,554cffff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
714,714,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,ffff4cff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
715,715,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,ffff4cff,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
716,716,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,4cff554c,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
717,717,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,554cffff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
718,718,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,ffff4cff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
719,719,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,ffff4cff,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
720,720,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,4cff554c,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
721,721,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,554cffff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
722,722,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,ffff4cff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
723,723,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,ffff4cff,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
724,724,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,4cff554c,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
725,725,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,554cffff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
726,726,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,ffff4cff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
727,727,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,ffff4cff,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
728,728,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,4cff554c,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
729,729,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,554cffff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
730,730,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,ffff4cff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
731,731,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,ffff4cff,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
732,732,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,4cff554c,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
733,733,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,554cffff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
734,734,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,ffff4cff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
735,735,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,ffff4cff,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
736,736,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,4cff554c,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
737,737,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,554cffff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
738,738,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,ffff4cff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
739,739,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,ffff4cff,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
740,740,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,4cff554c,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
741,741,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,554cffff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
742,742,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,ffff4cff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
743,743,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,ffff4cff,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
744,744,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,4cff554c,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
745,745,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,554cffff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
746,746,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,ffff4cff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
747,747,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,ffff4cff,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
748,748,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,4cff554c,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
749,749,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,554cffff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
750,750,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,ffff4cff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
751,751,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,ffff4cff,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
752,752,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,4cff554c,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
753,753,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,554cffff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
754,754,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,ffff4cff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
755,755,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,ffff4cff,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
756,756,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,4cff554c,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
757,757,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,554cffff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
758,758,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,ffff4cff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
759,759,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,ffff4cff,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
760,760,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,4cff554c,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
761,761,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,554cffff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
762,762,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,ffff4cff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
763,763,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,ffff4cff,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
764,764,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,4cff554c,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
765,765,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,554cffff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
766,766,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,ffff4cff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
767,767,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,ffff4cff,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
768,768,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,4cff554c,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
769,769,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,554cffff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
770,770,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,ffff4cff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
771,771,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,ffff4cff,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
772,772,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,4cff554c,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
773,773,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,554cffff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
774,774,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,ffff4cff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
775,775,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,ffff4cff,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
776,776,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,4cff554c,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
777,777,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,554cffff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
778,778,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,ffff4cff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
779,779,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,ffff4cff,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
780,780,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,1d6bff1d,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
781,781,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,ff1d6b6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
782,782,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,6b6b1d6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
783,783,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,6b6b1d6b,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
784,784,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,1d6bff1d,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
785,785,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,ff1d6b6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
786,786,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,6b6b1d6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
787,787,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,6b6b1d6b,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
788,788,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,1d6bff1d,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
789,789,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,ff1d6b6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
790,790,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,6b6b1d6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
791,791,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,6b6b1d6b,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
792,792,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,1d6bff1d,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
793,793,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,ff1d6b6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
794,794,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,6b6b1d6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
795,795,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,6b6b1d6b,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
796,796,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,1d6bff1d,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
797,797,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,ff1d6b6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
798,798,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,6b6b1d6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
799,799,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,6b6b1d6b,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
800,800,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,1d6bff1d,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
801,801,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,ff1d6b6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
802,802,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,6b6b1d6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
803,803,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,6b6b1d6b,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
804,804,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,1d6bff1d,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
805,805,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,ff1d6b6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
806,806,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,6b6b1d6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
807,807,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,6b6b1d6b,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
808,808,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,1d6bff1d,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
809,809,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,ff1d6b6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
810,810,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,6b6b1d6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
811,811,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,6b6b1d6b,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
812,812,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,1d6bff1d,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
813,813,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,ff1d6b6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
814,814,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,6b6b1d6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
815,815,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,6b6b1d6b,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
816,816,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,1d6bff1d,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
817,817,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,ff1d6b6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
818,818,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,6b6b1d6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
819,819,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,6b6b1d6b,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
820,820,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,1d6bff1d,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
821,821,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,ff1d6b6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
822,822,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,6b6b1d6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
823,823,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,6b6b1d6b,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
824,824,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,1d6bff1d,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
